SUZANNE FLON

SUZANNE LOTHAR
SUSAN TYRRELL
SUZY CARRIER
SUZY DELAIR
SYLVA KOSCINA
SYLVIA KRISTEL
SYLVIE
TANYA ROBERTS

TERESA WRIGHT

TERI HATCHER
THERESA SALDANA
TILDA SWINTON


TINA LOUISE

TIPPI HEDREN
TSILLA CHELTON
VALENTINA CORTESE

VALERIA BRUNI TEDESCHI

VALERIE BENGUIGUI

VALERIE LANG

VALERIE MAIRESSE

VERA MILES

VERONICA LAKE
VIRGINIA GREGG

VIRGINIA MAYO

VIRNA LISI

VIVIEN LEIGH

WENDY HUGHES

WHITNEY HOUSTON

YUKO TAKEUCHI

YVETTE ETIEVANT


YVETTE LEBON

YVETTE MIMIEUX

YVONNE CRAIG

YVONNE DE CARLO

ZSA ZSA GABOR
